symbol,quoteCurrency,market
MHC-BTC,BTC,BTC
PNT-BTC,BTC,BTC
QI-BTC,BTC,BTC
MTL-BTC,BTC,BTC
LAYER-BTC,BTC,DeFi
ERG-BTC,BTC,BTC
XDC-BTC,BTC,DeFi
CFG-BTC,BTC,BTC
NEAR-BTC,BTC,BTC
HAI-BTC,BTC,BTC
ARRR-BTC,BTC,BTC
YFDAI-BTC,BTC,BTC
MODEFI-BTC,BTC,BTC
AGIX-BTC,BTC,BTC
ZCX-BTC,BTC,BTC
ABBC-BTC,BTC,BTC
XPR-BTC,BTC,BTC
LPOOL-BTC,BTC,BTC
SHFT-BTC,BTC,BTC
REP-BTC,BTC,BTC
MLN-BTC,BTC,BTC
NKN-BTC,BTC,BTC
FLOW-BTC,BTC,BTC
HBAR-BTC,BTC,BTC
EGLD-BTC,BTC,BTC
RLC-BTC,BTC,BTC
EQX-BTC,BTC,BTC
GTC-BTC,BTC,BTC
TRB-BTC,BTC,BTC
NMR-BTC,BTC,BTC
SKL-BTC,BTC,BTC
STORJ-BTC,BTC,BTC
BAL-BTC,BTC,BTC
OXT-BTC,BTC,BTC
BNT-BTC,BTC,BTC
MAKI-BTC,BTC,BTC
WNCG-BTC,BTC,BTC
POLS-BTC,BTC,DeFi
VEED-BTC,BTC,NFT
XCUR-BTC,BTC,BTC
DSLA-BTC,BTC,BTC
ORBS-BTC,BTC,BTC
PCX-BTC,BTC,Polkadot
XYM-BTC,BTC,BTC
RNDR-BTC,BTC,NFT
POLK-BTC,BTC,Polkadot
KRL-BTC,BTC,BTC
AVAX-BTC,BTC,BTC
XHV-BTC,BTC,BTC
SWINGBY-BTC,BTC,BTC
HTR-BTC,BTC,BTC
SRK-BTC,BTC,BTC
LTX-BTC,BTC,DeFi
MITX-BTC,BTC,BTC
PUNDIX-BTC,BTC,BTC
PDEX-BTC,BTC,BTC
PHNX-BTC,BTC,BTC
STRK-BTC,BTC,BTC
PROM-BTC,BTC,BTC
PYR-BTC,BTC,NFT
MAHA-BTC,BTC,BTC
HYVE-BTC,BTC,BTC
GLQ-BTC,BTC,BTC
TLOS-BTC,BTC,BTC
OUSD-BTC,BTC,BTC
OGN-BTC,BTC,BTC
MATIC-BTC,BTC,BTC
CUSD-BTC,BTC,BTC
CELO-BTC,BTC,BTC
GOVI-BTC,BTC,BTC
STC-BTC,BTC,BTC
ICP-BTC,BTC,BTC
KDA-BTC,BTC,BTC
TOWER-BTC,BTC,NFT
CTSI-BTC,BTC,BTC
ALICE-BTC,BTC,BTC
BAND-BTC,BTC,BTC
ADS-BTC,BTC,BTC
HEART-BTC,BTC,BTC
KLAY-BTC,BTC,BTC
LINA-BTC,BTC,BTC
NGL-BTC,BTC,BTC
POND-BTC,BTC,BTC
SRM-BTC,BTC,BTC
BUY-BTC,BTC,BTC
RSR-BTC,BTC,BTC
CREAM-BTC,BTC,BTC
BURGER-BTC,BTC,BTC
SFP-BTC,BTC,BTC
LIT-BTC,BTC,BTC
MFT-BTC,BTC,BTC
TRADE-BTC,BTC,BTC
IOTA-BTC,BTC,BTC
VLX-BTC,BTC,BTC
OOKI-BTC,BTC,BTC
GLMR-BTC,BTC,BTC
PEEL-BTC,BTC,BTC
EGAME-BTC,BTC,BTC
SCRT-BTC,BTC,BTC
MBOX-BTC,BTC,BTC
SYS-BTC,BTC,BTC
TRVL-BTC,BTC,BTC
DAR-BTC,BTC,BTC
XCN-BTC,BTC,BTC
LMR-BTC,BTC,BTC
TFUEL-BTC,BTC,BTC
XNO-BTC,BTC,BTC
SHX-BTC,BTC,BTC
ACA-BTC,BTC,BTC
ASTR-BTC,BTC,BTC
CTC-BTC,BTC,BTC
HNT-BTC,BTC,BTC
BAKE-BTC,BTC,BTC
GLM-BTC,BTC,BTC
OM-BTC,BTC,BTC
SCLP-BTC,BTC,BTC
PERP-BTC,BTC,BTC
AR-BTC,BTC,BTC
UNO-BTC,BTC,DeFi
ALPHA-BTC,BTC,BTC
INJ-BTC,BTC,BTC
TVK-BTC,BTC,BTC
REEF-BTC,BTC,BTC
PUSH-BTC,BTC,BTC
RUNE-BTC,BTC,BTC
CUDOS-BTC,BTC,BTC
DEXE-BTC,BTC,BTC
TLM-BTC,BTC,BTC
SKU-BTC,BTC,BTC
FTT-BTC,BTC,BTC
SUPER-BTC,BTC,BTC
XED-BTC,BTC,BTC
LTO-BTC,BTC,BTC
QUICK-BTC,BTC,BTC
TWT-BTC,BTC,BTC
ANT-BTC,BTC,BTC
EDG-BTC,BTC,BTC
FLUX-BTC,BTC,BTC
CWAR-BTC,BTC,BTC
LRC-BTC,BTC,BTC
ATA-BTC,BTC,BTC
DOGE-BTC,BTC,BTC
FXS-BTC,BTC,BTC
PAXG-BTC,BTC,BTC
ERN-BTC,BTC,BTC
HEGIC-BTC,BTC,BTC
NORD-BTC,BTC,BTC
DATA-BTC,BTC,BTC
WRX-BTC,BTC,BTC
TRU-BTC,BTC,BTC
AUDIO-BTC,BTC,BTC
SDL-BTC,BTC,BTC
TRIAS-BTC,BTC,BTC
DFI-BTC,BTC,DeFi
SUKU-BTC,BTC,DeFi
WAVES-BTC,BTC,DeFi
EWT-BTC,BTC,BTC
WEST-BTC,BTC,BTC
KAI-BTC,BTC,BTC
STX-BTC,BTC,BTC
XDB-BTC,BTC,BTC
SENSO-BTC,BTC,NFT
PRE-BTC,BTC,BTC
SUTER-BTC,BTC,DeFi
KSM-BTC,BTC,Polkadot
VRA-BTC,BTC,BTC
BEPRO-BTC,BTC,BTC
NWC-BTC,BTC,BTC
AMPL-BTC,BTC,DeFi
MLK-BTC,BTC,BTC
MAP-BTC,BTC,BTC
DIA-BTC,BTC,DeFi
DOT-BTC,BTC,Polkadot
VET-BTC,BTC,BTC
ETN-BTC,BTC,BTC
AXPR-BTC,BTC,BTC
TEL-BTC,BTC,BTC
MANA-BTC,BTC,NFT
QTUM-BTC,BTC,BTC
POWR-BTC,BTC,BTC
DRGN-BTC,BTC,BTC
AERGO-BTC,BTC,BTC
TONE-BTC,BTC,BTC
AAVE-BTC,BTC,DeFi
UOS-BTC,BTC,NFT
CKB-BTC,BTC,BTC
EFX-BTC,BTC,BTC
SHA-BTC,BTC,DeFi
LINK-BTC,BTC,DeFi
KCS-BTC,BTC,BTC
ROOBEE-BTC,BTC,BTC
SXP-BTC,BTC,BTC
COTI-BTC,BTC,DeFi
NIM-BTC,BTC,BTC
FX-BTC,BTC,BTC
CHR-BTC,BTC,NFT
OCEAN-BTC,BTC,Polkadot
ATOM-BTC,BTC,BTC
KMD-BTC,BTC,BTC
CRO-BTC,BTC,BTC
MTV-BTC,BTC,BTC
RIF-BTC,BTC,BTC
XMR-BTC,BTC,BTC
ANKR-BTC,BTC,BTC
FET-BTC,BTC,BTC
NRG-BTC,BTC,BTC
LOKI-BTC,BTC,BTC
BNB-BTC,BTC,BTC
AKRO-BTC,BTC,Polkadot
JAR-BTC,BTC,BTC
XEM-BTC,BTC,BTC
VID-BTC,BTC,BTC
